구분,상호,소재지,등록년월일,영업시간,휴무일,전화번호,이용정보,데이터기준일자
대형마트,홈플러스(주) 서귀포점,제주특별자치도 서귀포시 중앙로 180,2005-12-27,10:00~23:00,매월 2번째 금요일. 4번째 토요일,064-731-8114,주차. 유아시설(놀이방),2018-10-01
대형마트,(주)이마트 서귀포점,제주특별자치도 서귀포시 일주동로 9209,2006-05-19,10:00~23:00,매월 2번째 금요일. 4번째 토요일,064-797-1234,주차. 유아시설. 문화센터,2018-10-01
